industry_id,industry_descr,term,estimate,std.error,conf.low,conf.high,p.value
39,Vegetable and animal oils and fats,af_to_igad,-0.26733538438423343,0.026561264026826348,-0.31939450526067237,-0.21527626350779447,7.900023706944147e-24
40,Dairy products,igad_to_af,-0.3863395168046554,0.037433462627124665,-0.45970775537044584,-0.31297127823886495,5.680780012118356e-25
40,Dairy products,af_to_igad,-0.328135128594866,0.030450144283949043,-0.3878163147154543,-0.2684539424742777,4.462022385869289e-27
41,Grain mill products,igad_to_af,-0.3716663487557361,0.0380822479523765,-0.44630618319271825,-0.297026514318754,1.6786613589984643e-22
41,Grain mill products,af_to_igad,-0.26071886360858415,0.030490097859680678,-0.32047835729866003,-0.20095936991850824,1.2209472370656981e-17
42,Starches and starch products,igad_to_af,2.933349609375,127552.4257950278,-249995.22734936283,250001.09404858158,0.9999816508831567
42,Starches and starch products,af_to_igad,-0.25318246953748663,0.03654707449413467,-0.324813419286293,-0.18155151978868028,4.2812635513243706e-12
43,Prepared animal feeds,igad_to_af,-0.5128664453386627,0.06970767118360524,-0.6494909703046895,-0.3762419203726358,1.8754239523906308e-13
43,Prepared animal feeds,af_to_igad,-0.34447374418751053,0.032453340872612896,-0.4080811234758335,-0.2808663648991876,2.5534565796318371e-26
44,Bakery products,igad_to_af,-0.34322637073480605,0.029181557756976617,-0.4004211729512557,-0.2860315685183564,6.144272305163848e-32
44,Bakery products,af_to_igad,-0.3720815157890846,0.027724772811322,-0.426421071978831,-0.3177419595993382,4.5834025690244724e-41
45,Sugar,igad_to_af,-0.2410044778004816,0.04394652338440236,-0.32713808087965746,-0.1548708747213057,4.1572147322392175e-8
45,Sugar,af_to_igad,-0.1911695213996151,0.02682539644532972,-0.24374633230347012,-0.13859271049576008,1.0299969051364736e-12
46,Cocoa chocolate and sugar confectionery,igad_to_af,0.5820026397705078,4911.313435344247,-9625.41544742264,9626.57945270218,0.9999054487306408
46,Cocoa chocolate and sugar confectionery,af_to_igad,-0.3235027613002171,0.032727816758029916,-0.38764810343858214,-0.25935741916185207,4.853119886534954e-23
47,Macaroni noodles & similar products,igad_to_af,-0.48156641512111276,0.04826283305315265,-0.5761598296971612,-0.3869730005450643,1.9026835684121622e-23
47,Macaroni noodles & similar products,af_to_igad,-0.24251191229508084,0.03598333794841348,-0.3130379587175046,-0.17198586587265705,1.588655487228095e-11
48,Other food products n.e.c.,igad_to_af,-0.28165602126264633,0.018602961085799345,-0.3181171549966132,-0.2451948875286795,8.769676246464612e-52
48,Other food products n.e.c.,af_to_igad,-0.1735228138100241,0.018698010593848714,-0.21017024115651595,-0.13687538646353226,1.6903037026840225e-20
49,Distilling rectifying & blending of spirits,igad_to_af,-0.33513465110978036,0.06001155888479988,-0.4527551451800928,-0.21751415703946791,2.343712591419183e-8
49,Distilling rectifying & blending of spirits,af_to_igad,-0.31886372131133306,0.039392654684692746,-0.39607190574875384,-0.24165553687391225,5.750150610723414e-16
50,Wines,igad_to_af,-0.48742979546676357,0.035568322395744,-0.5571424263529312,-0.41771716458059593,9.602592364004387e-43
50,Wines,af_to_igad,-0.32431889223351795,0.04044561291184753,-0.40359083687338726,-0.24504694759364865,1.0692059047453618e-15
51,Malt liquors and malt,igad_to_af,-0.434803870046244,0.052086854570579856,-0.536892229072556,-0.332715511019932,6.962281454025022e-17
51,Malt liquors and malt,af_to_igad,-0.4085272562942804,0.03960877196443539,-0.48615902281643353,-0.33089548977212724,6.087397421971432e-25
52,Soft drinks; mineral waters,igad_to_af,-0.599230366654659,0.042599784816256744,-0.6827244106436785,-0.5157363226656395,6.10052751071601e-45
52,Soft drinks; mineral waters,af_to_igad,-0.38735813320543794,0.027978933703003483,-0.44219583558915865,-0.33252043082171723,1.3707467979253894e-43
53,Tobacco products,igad_to_af,-0.15558578000854242,0.03691317273227176,-0.22793426911890102,-0.08323729089818381,2.4987544310722217e-5
53,Tobacco products,af_to_igad,-0.33224359148295207,0.039245767557058796,-0.4091638824404178,-0.25532330052548635,2.5457997677390987e-17
54,Textile fibre preparation; textile weaving,igad_to_af,-0.2595479712238779,0.030085551501112084,-0.3185145686210825,-0.20058137382667326,6.298366801885841e-18
54,Textile fibre preparation; textile weaving,af_to_igad,-0.1650162080307854,0.02427930321878278,-0.21260276790932703,-0.11742964815224376,1.0713239847726894e-11
55,Made-up textile articles except apparel,igad_to_af,0.24153243951688652,0.027433001994627376,0.1877647436196014,0.29530013541417166,1.3149814502745027e-18
55,Made-up textile articles except apparel,af_to_igad,-0.1535342982238468,0.032395020761192696,-0.21702737219421178,-0.0900412242534818,2.143083420418493e-6
56,Carpets and rugs,igad_to_af,0.2117062571418581,0.02878783229103341,0.15528314265845344,0.26812937162526274,1.9233480156027624e-13
56,Carpets and rugs,af_to_igad,-0.141260519429927,0.03137589760311683,-0.20275614871465258,-0.07976489014520144,6.725411995987308e-6
57,Cordage rope twine and netting,igad_to_af,-0.45536456458393104,0.04295513582682128,-0.5395550837555269,-0.37117404541233523,2.950186303915602e-26
57,Cordage rope twine and netting,af_to_igad,-0.11895021987974802,0.022633800200036434,-0.16331165310509488,-0.07458878665440115,1.4768372151326968e-7
58,Other textiles n.e.c.,igad_to_af,0.20065255452033048,0.024892997943907643,0.1518631750830419,0.24944193395761907,7.591949656922642e-16
58,Other textiles n.e.c.,af_to_igad,-0.22438161313035865,0.028448728168811298,-0.2801400957471989,-0.1686231305135184,3.0897194016295115e-15
59,Knitted and crocheted fabrics and articles,igad_to_af,-0.28783860099215286,0.050505142660337114,-0.38682686164047103,-0.1888503403438347,1.2037525097822718e-8
59,Knitted and crocheted fabrics and articles,af_to_igad,-0.40246653428591117,0.05514796126838975,-0.5105545521927649,-0.29437851637905743,2.922060207172159e-13
60,Wearing apparel except fur apparel,igad_to_af,-0.28924072161915376,0.04607795768643844,-0.37955185916573364,-0.19892958407257388,3.4471657197137623e-10
60,Wearing apparel except fur apparel,af_to_igad,-0.34420500142405597,0.04015431670205281,-0.4229060159838946,-0.26550398686421733,1.0165473231608426e-17
61,Dressing & dyeing of fur; processing of fur,igad_to_af,0.6972198486328125,11453.803509660045,-22448.34514508352,22449.739584780786,0.9999514308978763
61,Dressing & dyeing of fur; processing of fur,af_to_igad,-0.4050848530379003,0.04901227613416471,-0.5011471490611952,-0.30902255701460546,1.3973319659064404e-16
62,Tanning and dressing of leather,igad_to_af,-0.43333546624506025,0.0310370375546167,-0.4941669420389261,-0.3725039904511944,2.6630629509970836e-44
62,Tanning and dressing of leather,af_to_igad,-0.11437980046749352,0.04460084313747784,-0.2017958466970705,-0.02696375423791654,0.010331831614971428
63,Luggage handbags etc.; saddlery & harness,igad_to_af,0.28455265045446343,0.029754856242022523,0.22623420385493248,0.3428710970539944,1.1413340514958694e-21
63,Luggage handbags etc.; saddlery & harness,af_to_igad,-0.5195862059766947,0.03431410437874287,-0.5868406147207789,-0.4523317972326105,8.549401258603429e-52
64,Footwear,igad_to_af,-0.21802922882863712,0.029060868019775647,-0.2749874835068692,-0.16107097415040503,6.261092078158622e-14
64,Footwear,af_to_igad,-0.2084238401452959,0.03554516614374676,-0.278091085611532,-0.13875659467905982,4.528454250046969e-9
65,Sawmilling and planing of wood,igad_to_af,0.18615120531284757,0.04559899563207592,0.09677881614277954,0.2755235944829156,4.458197464507098e-5
65,Sawmilling and planing of wood,af_to_igad,-0.38622505258571005,0.03681740218328694,-0.4583858348692788,-0.3140642703021413,9.573887482283937e-26
66,Veneer sheets plywood particle board etc.,igad_to_af,0.43522474982398907,0.031734926180170014,0.37302543745881855,0.4974240621891596,8.327833049263438e-43
66,Veneer sheets plywood particle board etc.,af_to_igad,-0.21013888738221387,0.041082907842556,-0.29065990713380174,-0.129617867630626,3.137484908504943e-7
67,Builders' carpentry and joinery,igad_to_af,0.4569214514873633,0.03483300207494206,0.3886500219470679,0.5251928810276587,2.614620795133659e-39
67,Builders' carpentry and joinery,af_to_igad,-0.3720955569987616,0.03618196547168833,-0.44301090621314254,-0.3011802077843807,8.319588695797864e-25
68,Wooden containers,igad_to_af,0.3113424760928835,0.04468053397215376,0.22377023869744378,0.39891471348832325,3.2104313443234464e-12
68,Wooden containers,af_to_igad,-0.41405758181893493,0.03498265371444608,-0.48262232318288556,-0.3454928404549843,2.5404399062683994e-32
69,Other wood products; articles of cork/straw,igad_to_af,0.24546498000031797,0.022843322249789955,0.20069289110348718,0.29023706889714873,6.216305219237662e-27
69,Other wood products; articles of cork/straw,af_to_igad,-0.18258029997320824,0.039867983892932266,-0.26072011253957844,-0.10444048740683803,4.658168014984014e-6
70,Pulp paper and paperboard,igad_to_af,-0.37493081249051574,0.04021469376347913,-0.45375016391624234,-0.29611146106478914,1.128520934102658e-20
70,Pulp paper and paperboard,af_to_igad,-0.13778342819501174,0.026353198897103698,-0.18943474891075565,-0.08613210747926783,1.710407149573262e-7
71,Corrugated paper and paperboard,igad_to_af,-8.323486328125,512218.1166496364,-1003937.3843485515,1003920.7373758953,0.9999870344663394
71,Corrugated paper and paperboard,af_to_igad,-0.22282856243905935,0.027268560344914143,-0.2762739586253482,-0.16938316625277053,3.042525762609898e-16
72,Other articles of paper and paperboard,igad_to_af,0.30684221783226645,0.031049745768238577,0.2459858343973939,0.367698601267139,4.969027488624438e-23
72,Other articles of paper and paperboard,af_to_igad,-0.032853074103867175,0.029393959152983307,-0.09046417540675591,0.024758027199021565,0.26370319575638945
73,Publishing of books and other publications,igad_to_af,0.3956790472303938,0.03219780332637238,0.3325725123294,0.45878558213138765,1.0377223500213352e-34
73,Publishing of books and other publications,af_to_igad,-0.38688506129889166,0.036007046916636386,-0.45745757644514295,-0.3163125461526404,6.2762911741449155e-27
74,Publishing of newspapers journals etc.,igad_to_af,0.3904857635498047,16659.15139776666,-32650.94626685919,32651.72723838629,0.9999812978131669
74,Publishing of newspapers journals etc.,af_to_igad,-0.23942168208416897,0.04635476647519648,-0.33027535488731874,-0.1485680092810192,2.404579678554297e-7
75,Publishing of recorded media,igad_to_af,0.342459539530341,0.044727687023710584,0.2547948838520887,0.43012419520859324,1.910021445154434e-14
75,Publishing of recorded media,af_to_igad,0.34015363724064596,0.02973066044978792,0.28188261352247224,0.3984246609588197,2.6034082305472737e-30
76,Other publishing,igad_to_af,0.17460346213355257,0.03279898682785116,0.11031862922156069,0.23888829504554446,1.0182264418915734e-7
76,Other publishing,af_to_igad,-0.22334216346778568,0.04668549703360708,-0.3148440562540071,-0.1318402706815643,1.7186366720158912e-6
77,Printing,igad_to_af,1.3317680358886719,103697.06219776659,-203241.1754421965,203243.83897826826,0.9999897528711821
77,Printing,af_to_igad,-0.4094985850926753,0.02715853026410373,-0.46272832628335964,-0.35626884390199093,2.2572675270342012e-51
78,Service activities related to printing,igad_to_af,-2.3648738861083984,31113.129212064876,-60982.97757587432,60978.2478281021,0.9999393536938282
78,Service activities related to printing,af_to_igad,-0.3082170062404952,0.038633490634013584,-0.3839372564802273,-0.23249675600076308,1.4875401873358227e-15
79,Coke oven products,igad_to_af,-1.256744384765625,110680.61006819857,-216931.26626497522,216928.75277620569,0.9999909402655005
79,Coke oven products,af_to_igad,-0.05795724325604552,0.044011130534366116,-0.14421747402229415,0.02830298751020311,0.18787987460868566
80,Refined petroleum products,igad_to_af,-0.28125,89497.22645216179,-175411.62181246252,175411.05931246252,0.999997492603496
80,Refined petroleum products,af_to_igad,-0.2345408099447819,0.021634549959192183,-0.27694374868653104,-0.19213787120303275,2.1997972559852504e-27
